***
bimodal-copy: Branch Prediction Accuracy | MPKI | and so on
gshare-copy_server_012.out:              91.29, 91.29, 91.29 | 16.62, 16.62, 16.62
gshare-copy_server_013.out:              88.68, 88.68, 88.68 | 21.84, 21.84, 21.84
gshare-copy_server_014.out:              83.99, 83.99, 83.99 | 21.06, 21.06, 21.06
gshare-copy_server_015.out:              83.99, 83.99, 83.99 | 21.06, 21.06, 21.06
gshare-copy_server_016.out:               58.6,  58.6,  58.6 | 78.42, 78.42, 78.42
gshare-copy_server_017.out:              86.22, 86.22, 86.22 | 23.18, 23.18, 23.18
gshare-copy_server_018.out:              93.82, 93.82, 93.82 |   9.8,   9.8,   9.8
gshare-copy_server_019.out:              88.31, 88.31, 88.31 | 18.32, 18.32, 18.32
gshare-copy_server_020.out:              92.03, 92.03, 92.03 | 13.46, 13.46, 13.46
gshare-copy_server_021.out:              93.45, 93.45, 93.45 |  10.5,  10.5,  10.5
gshare-copy_server_022.out:               95.9,  95.9,  95.9 |  6.94,  6.94,  6.94
gshare-copy_server_023.out:              57.15, 57.15, 57.15 | 79.68, 79.68, 79.68
gshare-copy_server_024.out:              65.51, 65.51, 65.51 | 65.82, 65.82, 65.82
gshare-copy_server_025.out:              56.23, 56.23, 56.23 | 80.52, 80.52, 80.52
gshare-copy_server_026.out:              59.22, 59.22, 59.22 | 75.28, 75.28, 75.28
gshare-copy_server_027.out:              54.09, 54.09, 54.09 | 84.71, 84.71, 84.71
gshare-copy_server_028.out:              56.04, 56.04, 56.04 |  82.2,  82.2,  82.2
gshare-copy_server_029.out:              55.97, 55.97, 55.97 |  82.2,  82.2,  82.2
gshare-copy_server_030.out:              55.61, 55.61, 55.61 |  82.6,  82.6,  82.6
gshare-copy_server_031.out:              53.99, 53.99, 53.99 | 85.46, 85.46, 85.46
gshare-copy_server_032.out:               53.6,  53.6,  53.6 | 85.54, 85.54, 85.54
gshare-copy_server_033.out:              71.92, 71.92, 71.92 | 53.24, 53.24, 53.24
gshare-copy_server_034.out:              72.27, 72.27, 72.27 |  52.6,  52.6,  52.6
gshare-copy_server_035.out:              73.75, 73.75, 73.75 |    50,    50,    50
gshare-copy_server_036.out:              88.39, 88.39, 88.39 |  18.9,  18.9,  18.9
gshare-copy_server_037.out:              88.64, 88.64, 88.64 | 20.36, 20.36, 20.36
gshare-copy_server_038.out:              86.32, 86.32, 86.32 | 24.24, 24.24, 24.24
gshare-copy_server_039.out:              81.26, 81.26, 81.26 | 31.28, 31.28, 31.28
gshare-copy_spec_gcc_001.out:            91.46, 91.46, 91.46 | 25.38, 25.38, 25.38
gshare-copy_spec_gcc_002.out:            78.68, 78.68, 78.68 | 50.24, 50.24, 50.24
gshare-copy_spec_gcc_003.out:            83.17, 83.17, 83.17 |  39.4,  39.4,  39.4
gshare-copy_spec_gobmk_001.out:          83.98, 83.98, 83.98 | 26.54, 26.54, 26.54
gshare-copy_spec_gobmk_002.out:           79.4,  79.4,  79.4 | 36.38, 36.38, 36.38
gshare-copy_spec_perlbench_001.out:      97.91, 97.91, 97.91 |  3.76,  3.76,  3.76
gshare-copy_spec_x264_001.out:           78.82, 78.82, 78.82 |   7.7,   7.7,   7.7
