***
bimodal-copy: Branch Prediction Accuracy | MPKI | and so on
LSTM_client_005.out:                     89.02, 89.02, 89.02 |  20.9,  20.9,  20.9
LSTM_client_006.out:                     86.89, 86.89, 86.89 | 22.04, 22.04, 22.04
LSTM_client_007.out:                     83.21, 83.21, 83.21 | 24.64, 24.64, 24.64
LSTM_client_008.out:                     80.26, 80.26, 80.26 | 48.16, 48.16, 48.16
LSTM_server_001.out:                     85.01, 85.01, 85.01 | 26.86, 26.86, 26.86
LSTM_server_002.out:                     85.39, 85.39, 85.39 | 18.38, 18.38, 18.38
LSTM_server_003.out:                     91.03, 91.03, 91.03 |  17.1,  17.1,  17.1
LSTM_server_004.out:                     88.62, 88.62, 88.62 |  21.8,  21.8,  21.8
LSTM_server_009.out:                     83.03, 83.03, 83.03 | 33.14, 33.14, 33.14
LSTM_server_010.out:                     91.33, 91.33, 91.33 |  16.6,  16.6,  16.6
LSTM_server_011.out:                     97.07, 97.07, 97.07 |   5.7,   5.7,   5.7
LSTM_server_012.out:                     91.29, 91.29, 91.29 | 16.62, 16.62, 16.62
LSTM_server_013.out:                     88.68, 88.68, 88.68 | 21.84, 21.84, 21.84
LSTM_server_014.out:                     83.99, 83.99, 83.99 | 21.06, 21.06, 21.06
LSTM_server_015.out:                     83.99, 83.99, 83.99 | 21.06, 21.06, 21.06
LSTM_server_016.out:                      58.6,  58.6,  58.6 | 78.42, 78.42, 78.42
LSTM_server_017.out:                     86.22, 86.22, 86.22 | 23.18, 23.18, 23.18
LSTM_server_018.out:                     93.82, 93.82, 93.82 |   9.8,   9.8,   9.8
LSTM_server_019.out:                     88.31, 88.31, 88.31 | 18.32, 18.32, 18.32
LSTM_server_020.out:                     92.03, 92.03, 92.03 | 13.46, 13.46, 13.46
LSTM_server_021.out:                     93.45, 93.45, 93.45 |  10.5,  10.5,  10.5
LSTM_server_022.out:                      95.9,  95.9,  95.9 |  6.94,  6.94,  6.94
LSTM_server_023.out:                     57.15, 57.15, 57.15 | 79.68, 79.68, 79.68
LSTM_server_024.out:                     65.51, 65.51, 65.51 | 65.82, 65.82, 65.82
LSTM_server_025.out:                     56.23, 56.23, 56.23 | 80.52, 80.52, 80.52
LSTM_server_026.out:                     59.22, 59.22, 59.22 | 75.28, 75.28, 75.28
LSTM_server_027.out:                     54.09, 54.09, 54.09 | 84.71, 84.71, 84.71
LSTM_server_028.out:                     56.04, 56.04, 56.04 |  82.2,  82.2,  82.2
LSTM_server_029.out:                     55.97, 55.97, 55.97 |  82.2,  82.2,  82.2
LSTM_server_030.out:                     55.61, 55.61, 55.61 |  82.6,  82.6,  82.6
LSTM_server_031.out:                     53.99, 53.99, 53.99 | 85.46, 85.46, 85.46
LSTM_server_032.out:                      53.6,  53.6,  53.6 | 85.54, 85.54, 85.54
LSTM_server_033.out:                     71.92, 71.92, 71.92 | 53.24, 53.24, 53.24
LSTM_server_034.out:                     72.27, 72.27, 72.27 |  52.6,  52.6,  52.6
LSTM_server_035.out:                     73.75, 73.75, 73.75 |    50,    50,    50
LSTM_server_036.out:                     88.39, 88.39, 88.39 |  18.9,  18.9,  18.9
LSTM_server_037.out:                     88.64, 88.64, 88.64 | 20.36, 20.36, 20.36
LSTM_server_038.out:                     86.32, 86.32, 86.32 | 24.24, 24.24, 24.24
LSTM_server_039.out:                     81.26, 81.26, 81.26 | 31.28, 31.28, 31.28
LSTM_spec_gcc_001.out:                   91.46, 91.46, 91.46 | 25.38, 25.38, 25.38
LSTM_spec_gcc_002.out:                   78.68, 78.68, 78.68 | 50.24, 50.24, 50.24
LSTM_spec_gcc_003.out:                   83.17, 83.17, 83.17 |  39.4,  39.4,  39.4
